id,name,gender,category,subcategory,subsubcategory,brand
29776,Oral-B Tandenborstel 3D White Medium 1 st,Vrouw,Gezond & verzorging,Mondverzorging,Tandenborstels,Oral-B
9164,Palmolive Naturals Ultra Moisturization Douchemelk 250 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Palmolive
5893,Palmolive Zijde Glans Shampoo 400 ml,Vrouw,Gezond & verzorging,Haarverzorging,Shampoo,Palmolive
30825,At Home Black Vloeibare Wasmiddel 1000 ml,Gezin,Huishouden,Wassen en schoonmaken,Wasmiddel,At Home
23963,Axe Deodorant Spray Deep Space 150 ml,Man,Gezond & verzorging,Lichaamsverzorging,Deodorant,Axe
1666,Axe Instinct Deodorant Bodyspray 150 ml,Man,Gezond & verzorging,Lichaamsverzorging,Deodorant,Axe
28252,Colgate Triple Action Tandpasta 100 ml,Unisex,Gezond & verzorging,Mondverzorging,Tandpasta,Colgate
29389,Axe Deodorant Spray Musk 150 ml,Man,Gezond & verzorging,Lichaamsverzorging,Deodorant,Axe
20779,Dove Shampoo Nourishing Oil Care 250 ml,Vrouw,Gezond & verzorging,Haarverzorging,Shampoo,Dove
5732,Fa Deodorant Caribbean Lemon 150 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Deodorant,Fa
28431,Gillette Venus & Olaz Houder en Mesje,Vrouw,Gezond & verzorging,Gezichtsverzorging man,Scheren,Gillette
4848,Gillette Venus Classic Scheermesjes 4 st,Vrouw,Gezond & verzorging,Scheren & ontharen,Scheermesjes,Gillette
8185,Gliss Kur Oil Nutritive 200 ml,Vrouw,Gezond & verzorging,Haarverzorging,Conditioner,Schwarzkopf
27384,Gliss Kur Hair Repair Ultimate Oil Elixir Conditioner 200 ml,Vrouw,Gezond & verzorging,Haarverzorging,Conditioner,Schwarzkopf
26018,Herbal Essences Krachtige Kleur Conditioner 200 ml,Vrouw,Gezond & verzorging,Haarverzorging,Conditioner,Herbal
1693,L'Oréal Préférence Haarkleuring #8.3 Cannes,Vrouw,Gezond & verzorging,Haarverzorging,Haarkleuring,L Oreal
17186,Nivea Men Anti-Perspirant Fresh Active 50 ml,Man,Gezond & verzorging,Lichaamsverzorging,Deodorant,Nivea
1714,Neutral Vloeibaar Kleur Parfumvrij Wasmiddel 1425 ml,Gezin,Huishouden,Wassen en schoonmaken,Wasmiddel,Neutral
32897,Nivea Fresh Flower Deospray 150 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Deodorant,Nivea
29964,Nivea Men Invisible Black & White Deospray 200 ml,Man,Gezond & verzorging,Lichaamsverzorging,Deodorant,Nivea
23497,Nivea Creme Coconut Shower Cream 250 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Nivea
24799,Nivea Hawaii Flower & Oil Shower Gel 250 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Nivea
22161,Nivea Verzorgende Douchecrème Care & Magnolia 250 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Nivea
9395,Nivea Verzorgende Shampoo Classic Care 250 ml,Vrouw,Gezond & verzorging,Haarverzorging,Shampoo,Nivea
20025,Nivea Soft Hydraterende Crème met Jojoba-Olie & Vitamine E 200 ml,Unisex,Gezond & verzorging,Gezichtsverzorging vrouw,Dagcreme,Nivea
29738,Nivea Sun Protect&Refresh Zonnebrand SPF30 200 ml,Unisex,Gezond & verzorging,Lichaamsverzorging,Zonnebrand en aftersun,Nivea
17013,Nivea Styling Mousse Volume Sensation 150 ml,Vrouw,Gezond & verzorging,Haarverzorging,Haarstyling,Nivea
2261,Palmolive Naturals Delicate Care Amandelmelk 250 ml,Senior,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Palmolive
3062,Palmolive Naturals Pampering Touch Douchemelk 250 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Palmolive
26521,Body Secret Handzeep Pink Spring 500ml,Unisex,Gezond & verzorging,Lichaamsverzorging,Handzeep en handgel,Bodysecret
29122,Blue Wonder Alle Vloeren Reinigingsspray 750ml,Unisex,Huishouden,Overig huishoudelijk,Overige huishoudelijke artikelen,Blue Wonder
26157,Bright Eyes Lensvloeistof Zachte Lenzen 250 ml,Unisex,Gezond & verzorging,Optiek,Lenzen,Bright
1553,Denim Original Deospray 150ml,Man,Gezond & verzorging,Lichaamsverzorging,Deodorant,Denim
9426,Byphasse Intiem Doekjes 20 stuks,Vrouw,Gezond & verzorging,Persoonlijke hygiene,Intiemverzorging,Byphasse
5879,Diadermine Reinigingsdoekjes Droge Gevoelige Huid,Vrouw,Gezond & verzorging,Gezichtsverzorging vrouw,Reiniging,Diadermine
3846,Dove Deodorant Spray Original 150 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Deodorant,Dove
1314,Dove Deodorant Spray Silk Dry 250 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Deodorant,Dove
1882,Dove Purely Pampering Douche Crème Natural Caring Oils 250 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Dove
26544,Dove Zeepblok Pink 100 gr,Vrouw,Gezond & verzorging,Lichaamsverzorging,Handzeep en handgel,Dove
16763,Elvive Men Haarverdikker Shampoo 250 ml,Man,Gezond & verzorging,Haarverzorging,Shampoo,L Oreal
3357,Fa Deodorant Spray Fantasy Moments 150 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Deodorant,Fa
5570,Fa Pink Passion Floral Scent Deodorant 150 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Deodorant,Fa
32891,Gillette Fusion Proglide Sensitive 2in1 Scheergel 170 ml,Man,Gezond & verzorging,Gezichtsverzorging man,Scheren,Gillette
2177,Gliss Kur Liquid Silk Anti-klit Spray 50 ml,Vrouw,Gezond & verzorging,Haarverzorging,Haarstyling,Schwarzkopf
8378,Goldline Vitamine E Creme Droge en Gevoelige Huid 250 ml,Unisex,Gezond & verzorging,Lichaamsverzorging,Bodylotion en bodymilk,Goldline
24367,Libresse Ultra Thin Maandverband Normal Wings 10 stuks,Vrouw,Gezond & verzorging,Persoonlijke hygiene,Maandverband,Libresse
27445,Lip Smacker Coca Cola Lipbalsem,Vrouw,Gezond & verzorging,Lichaamsverzorging,Lipverzorging,Lip Smacker
24402,Loda Soda Kristallen 1kg,Unisex,Huishouden,Wassen en schoonmaken,Schoonmaken,Loda
29454,Kinder Surprise 20 g,Kinderen,Eten & drinken,Snacks en snoep,Snacks en snoep,Kinder
24747,Montagne Jeunesse Creamy Coconut Gezichtsmasker,Vrouw,Gezond & verzorging,Gezichtsverzorging vrouw,Gezichtsmasker,Montagne Jeunesse
29474,Nivea Aqua Sensation Dagcrème Droge Huid 50 ml,Vrouw,Gezond & verzorging,Gezichtsverzorging vrouw,Dagcreme,Nivea
17258,Nivea Deodorant Roller Invisible For Black & White 50 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Deodorant,Nivea
25909,Nivea Men Invisible Black & White Deoroller 50 ml,Man,Gezond & verzorging,Lichaamsverzorging,Deodorant,Nivea
4365,Nivea Men Energy Shower Gel 250 ml,Man,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Nivea
24804,Nivea Men Power Refresh Shower Gel Menthol 250 ml,Man,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Nivea
22221,Nivea Men Sensitive Scheerschuim 250 ml,Man,Gezond & verzorging,Gezichtsverzorging man,Scheren,Nivea
26226,Nivea Men Shampoo Sport 250 ml,Man,Gezond & verzorging,Haarverzorging,Shampoo,Nivea
20062,Nivea Styling Spray Ultra Strong 250 ml,Vrouw,Gezond & verzorging,Haarverzorging,Haarstyling,Nivea
29772,Nivea Sun Hydraterende After Sun Lotion met Aloë Vera 200 ml,Gezin,Gezond & verzorging,Lichaamsverzorging,Zonnebrand en aftersun,Nivea
30982,Oral-B Precision Clean Replacement Brush Heads 10 Stuks,Unisex,Gezond & verzorging,Mondverzorging,Tandenborstels,Oral-B
32511,Oral-B Complete Whitening & Natuurlijk Fris Tandpasta 75 ml,Unisex,Gezond & verzorging,Mondverzorging,Tandpasta,Oral-B
24728,At Home Spring Fields Luchtverfrisser 400 ml,Unisex,Huishouden,Toilet en keuken,Luchtverfrissers,At Home
30628,At Home Automatic Tropical Vanilla Navulling 250 ml,Gezin,Huishouden,Toilet en keuken,Luchtverfrissers,At Home
26185,At Home Lemon Power 2in1 Toiletblok 2 st,B2B,Huishouden,Toilet en keuken,Toiletblokken,At Home
27729,Axe Dry Anti-Transpirant Full Control 150 ml,Man,Gezond & verzorging,Lichaamsverzorging,Deodorant,Axe
27491,Bolsius Forest Berries Geurkaars,Unisex,Wonen & vrije tijd,Woonaccessoires,Kaarsen,Bolsius
8957,Clean Seat Wegwerp wc-brildoekjes 12 st,Gezin,Huishouden,Toilet en keuken,Toiletpapier en vochtige doekjes,Clean
4754,Byphasse Wattenschijfjes 120 stuks,Vrouw,Make-up & geuren,Make-up accessoires,Wattenschijfjes en wattenstaafjes,Byphasse
